vore,awake,brainwt
carni,11.5,0.0256
omni,13.9,0.0035
omni,13.7,0.001
omni,6,0.0063
insecti,5.9,0.081
omni,13.1,0.115
omni,8.4,0.0026
omni,14.6,0.18
herbi,11.5,0.0064
herbi,17.7,0.01227
omni,7,0.0155
herbi,19.6,0.169
herbi,14.6,0.0055
herbi,20,0.423
herbi,12.7,0.00118
herbi,11,0.0019
herbi,18.7,0.0123
herbi,18.7,0.115
herbi,21.1,0.655
omni,13.9,0.179
insecti,4.1,0.00025
omni,15.1,0.0025
omni,14.4,0.02
herbi,20.2,0.175
carni,17.7,0.0175
carni,6.6,0.0108
herbi,9.7,0.001
carni,14.2,0.0504
omni,15.7,0.0066
omni,14.9,0.00014
